date,adjusted price
2021-01-19,16.45
2021-01-18,
2021-01-15,16.37
2021-01-14,16.72
2021-01-13,16.46
2021-01-12,16.53
2021-01-11,16.25
2021-01-08,16.19
2021-01-07,16.22
2021-01-06,16.3
2021-01-05,16.11
2021-01-04,15.8
2021-01-01,
2020-12-31,16.43
2020-12-30,16.44
2020-12-29,16.31
2020-12-28,16.39
2020-12-25,
2020-12-24,16.27
2020-12-23,16.32
2020-12-22,16.04
2020-12-21,16.1
2020-12-18,16.29
2020-12-17,16.24
2020-12-16,16.26
2020-12-15,16.45
2020-12-14,16.23
2020-12-11,16.46
2020-12-10,16.47
2020-12-09,16.47
2020-12-08,16.57
2020-12-07,16.46
2020-12-04,16.5
2020-12-03,16.27
2020-12-02,16.04
2020-12-01,15.86
2020-11-30,15.64
2020-11-27,16
2020-11-26,
2020-11-25,16.12
2020-11-24,16.24
2020-11-23,15.84
2020-11-20,15.47
2020-11-19,15.77
2020-11-18,15.74
2020-11-17,15.85
2020-11-16,15.77
2020-11-13,15.35
2020-11-12,14.89
2020-11-11,15.08
2020-11-10,15.32
2020-11-09,14.83
2020-11-06,13.91
2020-11-05,13.95
2020-11-04,13.86
2020-11-03,13.85
2020-11-02,13.43
2020-10-30,13.09
2020-10-29,13.09
2020-10-28,12.97
2020-10-27,13.39
2020-10-26,13.74
2020-10-23,14.11
2020-10-22,13.98
2020-10-21,13.75
2020-10-20,13.93
2020-10-19,13.88
2020-10-16,14.01
2020-10-15,13.97
2020-10-14,13.89
2020-10-13,13.81
2020-10-12,14.05
2020-10-09,13.99
2020-10-08,14.06
2020-10-07,13.84
2020-10-06,13.57
2020-10-05,13.76
2020-10-02,13.67
2020-10-01,13.55
2020-09-30,13.47
2020-09-29,13.6
2020-09-28,13.76
2020-09-25,13.48
2020-09-24,13.22
2020-09-23,13.33
2020-09-22,13.7
2020-09-21,13.59
2020-09-18,14.15
2020-09-17,14.3
2020-09-16,14.24
2020-09-15,14.03
2020-09-14,14.08
2020-09-11,13.88
2020-09-10,13.65
2020-09-09,13.88
2020-09-08,13.84
2020-09-07,
2020-09-04,14.11
2020-09-03,14.11
2020-09-02,14.39
2020-09-01,14.14
2020-08-31,14.09
2020-08-28,14.27
2020-08-27,14.2
2020-08-26,14.02
2020-08-25,14.17
2020-08-24,14.22
2020-08-21,13.83
2020-08-20,13.91
2020-08-19,14.03
2020-08-18,14.02
2020-08-17,14.18
2020-08-14,14.38
2020-08-13,14.25
2020-08-12,14.31
2020-08-11,14.37
2020-08-10,14.22
2020-08-07,13.88
2020-08-06,13.72
2020-08-05,13.84
2020-08-04,13.48
2020-08-03,13.34
2020-07-31,13.22
2020-07-30,13.29
2020-07-29,13.29
2020-07-28,13.21
2020-07-27,13.18
2020-07-24,13.35
2020-07-23,13.47
2020-07-22,13.62
2020-07-21,13.36
2020-07-20,13.15
2020-07-17,13.27
2020-07-16,13.22
2020-07-15,13.26
2020-07-14,12.85
2020-07-13,12.7
2020-07-10,12.76
2020-07-09,12.47
2020-07-08,12.97
2020-07-07,12.96
2020-07-06,13.39
2020-07-03,
2020-07-02,13.28
2020-07-01,13.28
2020-06-30,13.4
2020-06-29,13.47
2020-06-26,12.91
2020-06-25,13.18
2020-06-24,13.13
2020-06-23,13.72
2020-06-22,13.88
2020-06-19,13.84
2020-06-18,14.09
2020-06-17,14.22
2020-06-16,14.37
2020-06-15,14.1
2020-06-12,14.04
2020-06-11,13.66
2020-06-10,14.87
2020-06-09,15.28
2020-06-08,15.76
2020-06-05,15.37
2020-06-04,14.9
2020-06-03,14.74
2020-06-02,14.07
2020-06-01,14.06
2020-05-29,13.98
2020-05-28,14.18
2020-05-27,14.21
2020-05-26,13.5
2020-05-25,
2020-05-22,13
2020-05-21,13.01
2020-05-20,12.82
2020-05-19,12.7
2020-05-18,12.94
2020-05-15,12.1
2020-05-14,12.03
2020-05-13,12.11
2020-05-12,12.44
2020-05-11,12.78
2020-05-08,12.9
2020-05-07,12.4
2020-05-06,12.25
2020-05-05,12.45
2020-05-04,12.4
2020-05-01,12.61
2020-04-30,12.94
2020-04-29,13.24
2020-04-28,12.88
2020-04-27,12.65
2020-04-24,12.37
2020-04-23,12.46
2020-04-22,12.45
2020-04-21,12.29
2020-04-20,12.74
2020-04-17,13.14
2020-04-16,12.45
2020-04-15,12.59
2020-04-14,12.88
2020-04-13,12.64
2020-04-10,
2020-04-09,12.99
2020-04-08,12.72
2020-04-07,11.90070076
2020-04-06,11.99552706
2020-04-03,11.14209035
2020-04-02,11.29381243
2020-04-01,11.10415983
2020-03-31,11.6920829
2020-03-30,11.95759654
2020-03-27,12.06190547
2020-03-26,12.72568958
2020-03-25,11.54984345
2020-03-24,10.80071567
2020-03-23,9.890383182
2020-03-20,10.18434471
2020-03-19,10.39296258
2020-03-18,10.20330997
2020-03-17,11.30329506
2020-03-16,11.04726405
2020-03-13,12.83948114
2020-03-12,12.06190547
2020-03-11,13.62653944
2020-03-10,14.64118086
2020-03-09,14.0248099
2020-03-06,15.36186074
2020-03-05,15.68427017
2020-03-04,16.55667213
2020-03-03,15.99719696
2020-03-02,16.22478008
2020-02-28,15.75064858
2020-02-27,16.04461011
2020-02-26,16.58512002
2020-02-25,16.70839422
2020-02-24,17.62820933
2020-02-21,18.14975399
2020-02-20,18.25406292
2020-02-19,18.45319815
2020-02-18,18.48164604
2020-02-17,
2020-02-14,18.58595497
2020-02-13,18.66181601
2020-02-12,18.6902639
2020-02-11,18.58595497
2020-02-10,18.54802445
2020-02-07,18.44371552
2020-02-06,18.44371552
2020-02-05,18.36785448
2020-02-04,18.17820188
2020-02-03,17.94113613
2020-01-31,17.94113613
2020-01-30,18.3109587
2020-01-29,18.28251081
2020-01-28,18.32044133
2020-01-27,18.14975399
2020-01-24,18.3109587
2020-01-23,18.3109587
2020-01-22,18.15923662
2020-01-21,18.28251081
2020-01-20,
2020-01-17,18.33940659
2020-01-16,18.42475026
2020-01-15,18.37733711
2020-01-14,18.29199344
2020-01-13,18.33940659
2020-01-10,18.16871925
2020-01-09,18.32044133
2020-01-08,18.14027136
2020-01-07,18.20664977
2020-01-06,18.16871925
2020-01-03,18.08337558
2020-01-02,17.79889668
2020-01-01,
2019-12-31,17.39114358
2019-12-30,17.45752199
2019-12-27,17.50493514
2019-12-26,17.46543335
2019-12-25,
2019-12-24,17.49364892
2019-12-23,17.55948523
2019-12-20,17.39959704
